,Time,CPU_Percentage,Scripts,Number_scripts,Bloque,RAM_Percentage
104,1623430275,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
105,1623430276,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
106,1623430277,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
107,1623430278,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
108,1623430279,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
109,1623430280,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
110,1623430281,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
111,1623430282,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
112,1623430283,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
113,1623430284,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
114,1623430285,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
115,1623430286,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
116,1623430287,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
117,1623430288,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
118,1623430289,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
119,1623430290,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
120,1623430291,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
121,1623430292,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
122,1623430293,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
123,1623430294,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
124,1623430295,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
125,1623430296,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
126,1623430297,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
127,1623430298,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
128,1623430299,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
129,1623430300,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
130,1623430301,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
131,1623430302,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
132,1623430303,2.2,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
133,1623430304,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
134,1623430305,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
135,1623430306,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
136,1623430307,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
137,1623430308,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
138,1623430309,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
139,1623430310,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
140,1623430311,2.1,"['bin_bvals.py', 'fivettgen.py']",2,0,2.5
